N,Название,Ценник,Чего делать,Чего хотят,URL
1,Ведущий специалист отдела стандартизации и Интегрированной Системы Менеджмента [id46362],,Участие в управлении нормативно-методической документацией. Проверка запросов в системе электронного документооборота Lotus Notes. Подготовка и оформление проектов приказов о...,Высшее образование (техническое или экономическое). Знание методологии и инструментария ARIS. Опыт описания/моделирования бизнес-процессов в ARIS от 1 года...,https://hh.ru/vacancy/37461639
2,Руководитель группы по повышению энергоэффективности [id37061],,"Разработка мероприятий по эффективному использованию энергетических ресурсов, включая анализ энергопотребления и производства энергоресурсов. Координация процесса проработки идей по повышению энергоэффективности...",Высшее (техническое) образование в области нефтепереработки или энергетики. Опыт работы на инженерно-технических должностях в области энергетического обслуживания нефтеперабатывающих предприятий...,https://hh.ru/vacancy/39598957
3,RPA разработчик / Тимлид [id66782],,"Анализ бизнес-процессов для реализации на платформе UiPath. Разработка, тестирование и поддержка разработанных роботов. Экспертная оценка работ подрядчиков при реализации...","Высшее образование, предпочтительно в сфере информационных технологий. Опыт разработки на UiPath, как на уровне визуальных конструкторов, так и на уровне...",https://hh.ru/vacancy/39779188
4,«Машинист компрессорных установок [id71466]»,,"Обслуживать и контролировать работу насосно-компрессорного емкостного и вспомогательного оборудования. Управлять работой оборудования технологического режима по показаниям КИПиА, контроль за...","Высшее образование по направлениям по направлению ""оборудование нефтегазопереработки"", "" машины и аппараты химических производств"", ""технологические машины и оборудование"". Знания требований и...",https://hh.ru/vacancy/40214563
5,Ведущий инженер-сметчик [id65946],,Ведение единой сметной сводки затрат. Проверка оформления сметной документации и актов строительно-монтажных и проектных работ. Проверка правильности применения подрядными...,"Высшее профессиональное образование (техническое, инженерно-экономическое, ПГС). Стаж работы на инженерно-экономических должностях, в области сметной деятельности на предприятиях нефтеперерабатывающей...",https://hh.ru/vacancy/40239787
6,PHP- разработчик [id79066],,"Разработка многопользовательских клиент-серверных приложений, работа с БД. Работа в SCRUM-команде c использованием Agile технологий.","Высшее образование в сфере информационных технологий, прикладной математики. Умение разрабатывать юнит-тесты. Работа с реляционными и документоориентированными БД; PostgreSQL и...",https://hh.ru/vacancy/40472635
7,Электромонтёр по ремонту и обслуживанию электрооборудования [id74041],,"Обслуживать электроустановки технологических объектов (оперативное обслуживание). Обслуживать электроустановки до и выше 1000В (0,4кВ, 6-10кВ, 110...","Образование средне-специальное или высшее техническое (электрика, энергетика). Наличие практического опыта работы по специальности не менее 2 лет (на предприятиях...",https://hh.ru/vacancy/40530929
8,«Электромонтёр по ремонту и обслуживанию электрооборудования [id95461]»,,"Эксплуатация, ремонт и техническое обслуживание систем электрического обогрева (системы электообогрева).","Образование средне-специальное или высшее техническое (электрика, энергетика). Наличие практического опыта работы по специальности не менее 2 лет (на предприятиях...",https://hh.ru/vacancy/40532267
9,Главный специалист по энергетике,,"Формирование бизнес плана, производственного плана по направлению СМР, ПНР. Управление и контроль строительно-монтажных и пусконаладочных работ объектов электроэнергетики крупного...","Высшее образование. Обязателен опыт работы в строительстве производственных электронергетических объектов: кабельные линии, эстакады, слаботочные системы 0,4-6 кВт (СМР...",https://hh.ru/vacancy/40606715
10,Разработчик Terrasoft Creatio [id 52539],,Разработка проектных решений на промышленной платформе Terrasoft BPM'Online/Creatio с использованием серверного кода ASP.NET (C#) и JavaScript в соответствии...,Знание и практическое применение принципов ООП и шаблонов проектирования. Знание нотации BPMN 2.0. Опыт разработки на C# и работы...,https://hh.ru/vacancy/40684903
